SYS,SID,RAW.SCR,Z.SCR,N,HIT,RAW.Z.SCR
HUMAN-B,364,91.5294117647059,0.954981372751109,17,19,1.35873426678993
HUMAN-B,1555,87.7647058823529,0.912515062451438,17,19,1.24283935879693
HUMAN-B,1571,67.7058823529412,0.726176340644675,17,19,0.734301911890562
HUMAN-B,61,90.7647058823529,0.940136535004225,17,19,1.31822118494445
HUMAN-B,1038,91.1764705882353,0.946192307173543,17,19,1.33474800711094
HUMAN-B,1687,88.8235294117647,0.926513710145399,17,19,1.28104310136532
HUMAN-B,389,86.1764705882353,0.904035204813812,17,19,1.21969695923899
HUMAN-B,729,98.8888888888889,0.986545954146676,18,21,1.444877240617
HUMAN-B,934,90.8888888888889,0.906351576592293,18,21,1.22601857494448
HUMAN-B,1620,96.4444444444444,0.963278747315705,18,21,1.38137865136117
HUMAN-B,2010,83,0.838090490354486,18,21,1.03972708286036
HUMAN-B,895,78.6666666666667,0.791275079366844,18,21,0.911963033881768
HUMAN-B,1278,89.0555555555556,0.887332023991944,18,21,1.17411226890728
HUMAN-B,118,83.2777777777778,0.840104556022794,18,21,1.04522367424476
HUMAN-B,2005,89.1666666666667,0.897897339318631,18,21,1.2029460959825
HUMAN-B,1848,91,0.906387699903511,18,21,1.22611715915866
HUMAN-B,1179,85.8333333333333,0.8642794705023,18,21,1.11119949059353
HUMAN-B,762,97.625,0.923952735855081,16,0,1.27405394036559
HUMAN-B,1068,93,0.882163922022584,16,0,1.16000798958537
HUMAN-B,112,86.1875,0.827718232108287,16,0,1.01142012832063
HUMAN-B,1754,92.1875,0.870592094667532,16,0,1.12842728815026
HUMAN-B,694,90,0.851796781248182,16,0,1.07713295379289
HUMAN-B,1707,88.0625,0.837219381287285,16,0,1.0373497370424
HUMAN-B,767,98.5625,0.932624282331602,16,0,1.29771947838765
HUMAN-B,1051,74.125,0.710843331626356,16,0,0.692456560672291
HUMAN-B,1621,92.4375,0.874298249169377,16,0,1.13854176317689
HUMAN-B,600,71,0.675602290334443,16,0,0.596280151436768
HUMAN-B,347,91.9473684210526,0.890167417335634,19,1,1.18185034759535
