SYS,SID,RAW.SCR,Z.SCR1,N,Z.SCR
DCU-adapt,1193,34,-0.5038910976144,1,0.494771616693064
DCU-adapt,1327,10,-1.21141699158811,1,0.372867473660088
DCU-adapt,364,38,-0.385970115285448,1,0.515088973865227
DCU-adapt,1484,15,-1.06401576367692,1,0.398264170125292
DCU-adapt,40,97,1.35336437406658,1,0.814769992154623
DCU-adapt,833,99.5,1.42706498802218,2,0.827468340387226
DCU-adapt,1840,3,-1.02662328866413,1,0.404706757825814
DCU-adapt,341,4,-1.0002183686882,1,0.409256229681101
DCU-adapt,668,9,-0.868193768808554,2,0.432003588957534
DCU-adapt,347,4,-1.0002183686882,1,0.409256229681101
DCU-adapt,992,8,-0.894598688784484,1,0.427454117102248
DCU-adapt,1414,5,-0.973813448712272,1,0.413805701536387
DCU-adapt,461,27,-0.392905209241828,1,0.513894082352695
DCU-adapt,1686,8,-0.894598688784484,1,0.427454117102248
DCU-adapt,616,9,-0.868193768808555,1,0.432003588957534
DCU-adapt,609,13,-0.762574088904838,1,0.450201476378681
DCU-adapt,581,39,-0.076046169530676,1,0.568487744616135
DCU-adapt,1498,6,-0.947408528736343,1,0.418355173391674
DCU-adapt,595,0,-0.657060187726656,1,0.468381138509422
DCU-adapt,1301,0,-0.657060187726656,1,0.468381138509422
DCU-adapt,1278,0,-0.657060187726656,1,0.468381138509422
DCU-adapt,1729,0,-0.657060187726656,2,0.468381138509422
DCU-adapt,1129,0,-0.657060187726656,1,0.468381138509422
DCU-adapt,440,0,-0.657060187726656,1,0.468381138509422
DCU-adapt,1847,0,-0.657060187726656,1,0.468381138509422
DCU-adapt,1422,0,-0.657060187726656,1,0.468381138509422
DCU-adapt,1567,0,-0.657060187726656,1,0.468381138509422
DCU-adapt,892,0,-0.657060187726656,1,0.468381138509422
DCU-adapt,63,0,-0.657060187726656,1,0.468381138509422
DCU-adapt,454,3,-0.572605150743795,2,0.482932434788334
DCU-adapt,1321,0,-0.657060187726656,1,0.468381138509422
DCU-adapt,1241,0,-0.657060187726656,1,0.468381138509422
DCU-adapt,955,0,-0.657060187726656,1,0.468381138509422
DCU-adapt,1269,16,-1.03453551809468,1,0.403343509418333
DCU-adapt,649,66,0.43947676101721,1,0.657310474070364
DCU-adapt,979,45,-0.179608396209784,1,0.550644348916511
DCU-adapt,1649,9,-1.24089723717034,1,0.367788134367049
DCU-adapt,455,95,1.29440388290211,1,0.804611313568543
DCU-adapt,919,18,-0.975575026930204,1,0.413502188004414
DCU-adapt,641,25,-0.76921330785454,1,0.449057563055698
DCU-adapt,101,23,-0.828173799019015,1,0.438898884469617
DCU-adapt,607,99,1.41232486523106,2,0.824928670740705
DCU-adapt,1317,18,-0.975575026930204,1,0.413502188004414
DCU-adapt,1104,12,-1.15245650042363,1,0.38302615224617
DCU-adapt,1031,46,-0.150128150627546,1,0.555723688209552
DCU-adapt,1329,99,1.41232486523106,1,0.824928670740705
DCU-adapt,303,23,-0.828173799019015,1,0.438898884469617
DCU-adapt,1848,18,-0.975575026930204,1,0.413502188004414
DCU-adapt,1811,0,-1.84548616250014,2,0.263619657344079
DCU-adapt,250,41.5,-0.725989156494257,2,0.456504927420428
DCU-adapt,897,75.5,0.233005636070682,2,0.621736248784701
DCU-adapt,254,83.75,0.497416509414989,4,0.667293282383299
DCU-adapt,1530,95.5,0.8848932346331,2,0.734054115499455
DCU-adapt,479,72.5,0.125964685611685,2,0.603293481606453
DCU-adapt,1568,55.5,-0.418881962491734,2,0.509418382069948
DCU-adapt,172,58.5,-0.173881480410731,2,0.551631075718529
DCU-adapt,678,31.5,-0.841363144352404,4,0.436626408149348
DCU-adapt,397,60.75,0.021668051617695,4,0.585323550192559
