SYS,SID,RAW.SCR,Z.SCR,N,HIT
kslab,1582,3.78571428571429,-0.811205723976341,28,8
kslab,939,6.85714285714286,-0.725560812068194,28,8
kslab,1800,3.10714285714286,-0.847406410320558,28,8
kslab,311,10.7727272727273,-0.591576193414463,22,9
kslab,419,23.2727272727273,-0.338429148318639,22,9
kslab,1777,3.90909090909091,-0.791459919361215,22,9
kslab,518,12,-0.537848169799575,22,9
kslab,1772,18.4090909090909,-0.369656488859263,22,9
kslab,1339,7.27272727272727,-0.675381846234474,22,9
kslab,1856,46.6818181818182,0.29136170996365,22,9
kslab,250,9.54545454545454,-0.586220586099799,22,9
kslab,1125,7.27272727272727,-0.659129355725117,22,9
kslab,696,19.4090909090909,-0.356457605099738,22,9
kslab,927,16.9090909090909,-0.537352511090632,22,9
kslab,1818,12.5454545454545,-0.59686506264338,22,9
kslab,1241,56.2727272727273,0.505134033499403,22,9
kslab,1248,48.8636363636364,0.332578599904943,22,9
kslab,1457,39.2407407407407,0.067571827824731,54,11
kslab,473,3.2962962962963,-0.857767701372596,27,11
kslab,1622,10.8888888888889,-0.688159389651331,27,11
kslab,596,85.962962962963,1.23515408907554,27,11
kslab,1627,10.4074074074074,-0.690512122328335,27,11
kslab,1722,6.55555555555556,-0.747613152382228,27,11
kslab,145,45.8888888888889,0.217486473097955,27,11
kslab,861,20.1875,-0.929453457191637,16,12
kslab,747,10.6875,-0.651701530764914,16,12
kslab,1065,10.25,-0.68588413010971,16,12
kslab,1847,12.625,-0.638590386132194,16,12
kslab,1292,15.9375,-0.528839248235986,32,12
kslab,403,19.9375,-0.447422780002583,16,12
kslab,1185,10.0625,-0.763522041434176,16,12
kslab,216,27.375,-0.267745859474474,16,12
kslab,1632,22.3125,-0.422257732567734,16,12
kslab,1147,45.875,0.27235745304866,16,13
kslab,1081,2.3125,-0.841577468671393,16,13
kslab,780,8.6875,-0.666931762021908,16,13
kslab,1580,25.75,-0.227930694702114,16,13
kslab,732,1.75,-0.860337028544929,16,13
kslab,142,23.2380952380952,-0.33550321563475,21,14
kslab,779,68.2857142857143,0.797713085769538,21,14
kslab,208,11.3809523809524,-0.67574092469227,21,14
kslab,1449,28.1904761904762,-0.185941056848629,21,14
kslab,741,50.4761904761905,0.333832921322788,42,14
kslab,1275,7.42857142857143,-0.750664552381644,21,14
kslab,1668,13.7142857142857,-0.594363554151452,21,14
kslab,182,29.9166666666667,-0.08277367886094,24,15
kslab,920,9.95833333333333,-0.558259260423707,24,15
kslab,1284,6.70833333333333,-0.668802428231818,24,15
kslab,3,66.0416666666667,0.861499889203488,24,15
kslab,1456,31.25,-0.079111778187891,24,15
kslab,1640,0.625,-0.829174113638688,24,15
kslab,1399,11.625,-0.515150516985725,24,15
kslab,174,30.4583333333333,-0.203412008793604,24,16
kslab,1482,4.20833333333333,-0.825425554903283,24,16
kslab,1204,13.375,-0.598847874037835,24,16
kslab,430,19.2916666666667,-0.488353826333332,24,16
kslab,1604,46,0.10602619386122,24,16
kslab,652,33.8333333333333,-0.119233450489801,24,16
kslab,1371,33.1666666666667,-0.151148831300016,24,16
kslab,1538,11.2916666666667,-0.639745866037052,24,16
kslab,1336,60.2586206896552,0.459319536629149,58,17
kslab,491,78.8965517241379,0.926116579370951,29,17
kslab,1584,8.89655172413793,-0.780982779486245,58,17
kslab,172,9.72413793103448,-0.764581529820828,29,17
kslab,1438,9.37931034482759,-0.749948167571272,29,17
kslab,149,8,-0.787092768750279,29,17
kslab,1256,20.8275862068966,-0.469339116094632,29,17
kslab,576,19.6896551724138,-0.525634402898546,29,17
kslab,966,55.3333333333333,0.577288168173824,24,18
kslab,483,9,-0.777768005950728,24,18
kslab,133,69.125,0.792265659002627,24,18
kslab,999,9.29166666666667,-0.565734385731599,24,18
kslab,1016,6.125,-0.744263501591432,24,18
kslab,1069,8.04166666666667,-0.688150231037634,24,18
kslab,737,0.5,-0.988374612874097,24,18
kslab,835,57.875,0.515505148894965,24,18
kslab,332,34.1666666666667,0.019308345724349,24,18
kslab,1385,12.125,-0.535718160443309,24,18
kslab,1287,12.2083333333333,-0.586611473906148,24,18
kslab,1738,22.875,-0.346159285649143,24,18
kslab,125,5.47368421052632,-0.730996730745246,19,20
kslab,99,11.4736842105263,-0.641934770232776,19,20
kslab,578,7.05263157894737,-0.757831086656338,19,20
kslab,1724,3.15789473684211,-0.873996878826587,19,20
kslab,1573,9.42105263157895,-0.686014305584382,38,20
kslab,249,3.21052631578947,-0.818782341138153,19,20
kslab,1202,15.8421052631579,-0.411837264494526,19,20
kslab,1550,57.4736842105263,0.579118486605136,19,20
kslab,1002,15.8421052631579,-0.502466542834447,19,20
kslab,730,4.95652173913043,-0.768179262609318,46,21
kslab,1342,10.695652173913,-0.61126623070275,23,21
kslab,1686,6.39130434782609,-0.725212416975246,23,21
kslab,442,65.5217391304348,0.741334076736232,23,21
kslab,393,54.7826086956522,0.508752382698337,23,21
kslab,529,1.69565217391304,-0.878425138698484,23,21
kslab,794,6.82608695652174,-0.706332611806227,23,21
kslab,1838,35.7826086956522,0.031712144135049,23,21
kslab,62,6.78260869565217,-0.71755921561063,23,21
kslab,241,24.304347826087,-0.294199997841758,23,21
kslab,1335,14.4347826086957,-0.532046228335284,23,21
kslab,373,4.91304347826087,-0.766142261133684,23,21
kslab,375,26.304347826087,-0.233855465460827,23,21
kslab,727,30.6521739130435,-0.088216967943853,23,21
INF,1410,41.9583333333333,0.20975828373924,24,1
INF,1222,10.75,-0.603737748724149,24,1
INF,1827,17.0416666666667,-0.439333254800347,24,1
INF,250,78.5416666666667,1.14369482761724,24,1
INF,1243,8.91666666666667,-0.646616643948771,24,1
INF,599,39.25,0.110773880176715,24,1
